case_id,variant,backend_count,available_backend_count,success_backend_count,failed_backend_count,min_best_energy,max_best_energy,range_best_energy,mean_best_energy,median_best_energy,min_delta_vs_full,max_delta_vs_full,range_delta_vs_full,mean_delta_vs_full,median_delta_vs_full,success_backends,failed_backends,gemini_best_energy,gemini_delta_vs_full,gemini_success,gpt54_best_energy,gpt54_delta_vs_full,gpt54_success,claude_best_energy,claude_delta_vs_full,claude_success
003,full,3,3,3,0,-11.669610977172852,-11.654779434204102,0.01483154296875,-11.659743626912435,-11.654840469360352,0.0,0.0,0.0,0.0,0.0,"gemini,gpt54,claude",,-11.654840469360352,0.0,True,-11.669610977172852,0.0,True,-11.654779434204102,0.0,True
003,no_forbid,3,2,2,1,-11.654779434204102,-11.654779434204102,0.0,-11.654779434204102,-11.654779434204102,0.0,0.01483154296875,0.01483154296875,0.007415771484375,0.007415771484375,"gpt54,claude",gemini,,,False,-11.654779434204102,0.01483154296875,True,-11.654779434204102,0.0,True
003,no_slip,3,2,2,1,-11.654779434204102,-11.654779434204102,0.0,-11.654779434204102,-11.654779434204102,0.0,0.01483154296875,0.01483154296875,0.007415771484375,0.007415771484375,"gpt54,claude",gemini,,,False,-11.654779434204102,0.01483154296875,True,-11.654779434204102,0.0,True
003,no_termination,3,2,2,1,-11.654779434204102,-11.654718399047852,6.103515625e-05,-11.654748916625977,-11.654748916625977,6.103515625e-05,0.01483154296875,0.0147705078125,0.0074462890625,0.0074462890625,"gpt54,claude",gemini,,,False,-11.654779434204102,0.01483154296875,True,-11.654718399047852,6.103515625e-05,True
004,full,3,3,3,0,-11.384456634521484,-10.396541595458984,0.9879150390625,-11.05515162150065,-11.384456634521484,0.0,0.0,0.0,0.0,0.0,"gemini,gpt54,claude",,-10.396541595458984,0.0,True,-11.384456634521484,0.0,True,-11.384456634521484,0.0,True
004,no_forbid,3,2,2,1,-11.384395599365234,-10.396541595458984,0.98785400390625,-10.89046859741211,-10.89046859741211,6.103515625e-05,0.9879150390625,0.98785400390625,0.493988037109375,0.493988037109375,"gpt54,claude",gemini,,,False,-10.396541595458984,0.9879150390625,True,-11.384395599365234,6.103515625e-05,True
004,no_slip,3,2,2,1,-11.384395599365234,-11.384395599365234,0.0,-11.384395599365234,-11.384395599365234,6.103515625e-05,6.103515625e-05,0.0,6.103515625e-05,6.103515625e-05,"gpt54,claude",gemini,,,False,-11.384395599365234,6.103515625e-05,True,-11.384395599365234,6.103515625e-05,True
004,no_termination,3,2,2,1,-11.384395599365234,-11.384395599365234,0.0,-11.384395599365234,-11.384395599365234,6.103515625e-05,6.103515625e-05,0.0,6.103515625e-05,6.103515625e-05,"gpt54,claude",gemini,,,False,-11.384395599365234,6.103515625e-05,True,-11.384395599365234,6.103515625e-05,True
005,full,3,3,3,0,-10.643351554870605,-10.606913566589355,0.03643798828125,-10.631205558776855,-10.643351554870605,0.0,0.0,0.0,0.0,0.0,"gemini,gpt54,claude",,-10.606913566589355,0.0,True,-10.643351554870605,0.0,True,-10.643351554870605,0.0,True
005,no_forbid,3,2,2,1,-10.643351554870605,-10.643351554870605,0.0,-10.643351554870605,-10.643351554870605,0.0,0.0,0.0,0.0,0.0,"gpt54,claude",gemini,,,False,-10.643351554870605,0.0,True,-10.643351554870605,0.0,True
005,no_slip,3,2,2,1,-10.643351554870605,-10.643351554870605,0.0,-10.643351554870605,-10.643351554870605,0.0,0.0,0.0,0.0,0.0,"gpt54,claude",gemini,,,False,-10.643351554870605,0.0,True,-10.643351554870605,0.0,True
