case_id,variant,backend_count,available_backend_count,success_backend_count,failed_backend_count,min_best_energy,max_best_energy,range_best_energy,mean_best_energy,median_best_energy,min_delta_vs_full,max_delta_vs_full,range_delta_vs_full,mean_delta_vs_full,median_delta_vs_full,success_backends,failed_backends,gemini_best_energy,gemini_delta_vs_full,gemini_success,grok_best_energy,grok_delta_vs_full,grok_success,gpt54_best_energy,gpt54_delta_vs_full,gpt54_success,claude_best_energy,claude_delta_vs_full,claude_success
003,full,4,4,4,0,-11.669610977172852,-11.654779434204102,0.01483154296875,-11.659616470336914,-11.657037734985352,0.0,0.0,0.0,0.0,0.0,"gemini,grok,gpt54,claude",,-11.654779434204102,0.0,True,-11.659296035766602,0.0,True,-11.669610977172852,0.0,True,-11.654779434204102,0.0,True
003,no_forbid,4,4,4,0,-11.654779434204102,-11.654779434204102,0.0,-11.654779434204102,-11.654779434204102,0.0,0.01483154296875,0.01483154296875,0.0048370361328125,0.00225830078125,"gemini,grok,gpt54,claude",,-11.654779434204102,0.0,True,-11.654779434204102,0.0045166015625,True,-11.654779434204102,0.01483154296875,True,-11.654779434204102,0.0,True
003,no_slip,4,4,4,0,-11.654779434204102,-11.654779434204102,0.0,-11.654779434204102,-11.654779434204102,0.0,0.01483154296875,0.01483154296875,0.0048370361328125,0.00225830078125,"gemini,grok,gpt54,claude",,-11.654779434204102,0.0,True,-11.654779434204102,0.0045166015625,True,-11.654779434204102,0.01483154296875,True,-11.654779434204102,0.0,True
003,no_termination,4,4,4,0,-11.654779434204102,-11.654718399047852,6.103515625e-05,-11.654764175415039,-11.654779434204102,0.0,0.01483154296875,0.01483154296875,0.004852294921875,0.002288818359375,"gemini,grok,gpt54,claude",,-11.654779434204102,0.0,True,-11.654779434204102,0.0045166015625,True,-11.654779434204102,0.01483154296875,True,-11.654718399047852,6.103515625e-05,True
003,single_shot,4,4,4,0,-11.657953262329102,-6.983524322509766,4.674428939819336,-10.232375144958496,-11.144011497497559,0.0,4.671255111694336,4.671255111694336,1.427241325378418,0.518855094909668,"gemini,grok,gpt54,claude",,-11.654779434204102,0.0,True,-10.633243560791016,1.026052474975586,True,-11.657953262329102,0.01165771484375,True,-6.983524322509766,4.671255111694336,True
004,full,4,4,4,0,-11.384456634521484,-10.13772201538086,1.246734619140625,-10.761089324951172,-10.761089324951172,0.0,0.0,0.0,0.0,0.0,"gemini,grok,gpt54,claude",,-10.13772201538086,0.0,True,-10.13772201538086,0.0,True,-11.384456634521484,0.0,True,-11.384456634521484,0.0,True
004,no_forbid,4,4,4,0,-11.384395599365234,-10.13772201538086,1.246673583984375,-10.514095306396484,-10.267131805419922,0.0,0.9879150390625,0.9879150390625,0.2469940185546875,3.0517578125e-05,"gemini,grok,gpt54,claude",,-10.13772201538086,0.0,True,-10.13772201538086,0.0,True,-10.396541595458984,0.9879150390625,True,-11.384395599365234,6.103515625e-05,True
004,no_slip,4,4,4,0,-11.384395599365234,-10.13772201538086,1.246673583984375,-10.761058807373047,-10.761058807373047,0.0,6.103515625e-05,6.103515625e-05,3.0517578125e-05,3.0517578125e-05,"gemini,grok,gpt54,claude",,-10.13772201538086,0.0,True,-10.13772201538086,0.0,True,-11.384395599365234,6.103515625e-05,True,-11.384395599365234,6.103515625e-05,True
004,no_termination,4,4,4,0,-11.384395599365234,-10.13772201538086,1.246673583984375,-11.07272720336914,-11.384395599365234,-1.246673583984375,6.103515625e-05,1.246734619140625,-0.31163787841796875,3.0517578125e-05,"gemini,grok,gpt54,claude",,-10.13772201538086,0.0,True,-11.384395599365234,-1.246673583984375,True,-11.384395599365234,6.103515625e-05,True,-11.384395599365234,6.103515625e-05,True
004,single_shot,4,4,4,0,-10.13772201538086,-8.813106536865234,1.324615478515625,-9.475414276123047,-9.475414276123047,0.0,2.57135009765625,2.57135009765625,1.285675048828125,1.285675048828125,"gemini,grok,gpt54,claude",,-8.813106536865234,1.324615478515625,True,-10.13772201538086,0.0,True,-8.813106536865234,2.57135009765625,True,-10.13772201538086,1.246734619140625,True
005,full,4,4,4,0,-10.643351554870605,-10.118144035339355,0.52520751953125,-10.512049674987793,-10.643351554870605,0.0,0.0,0.0,0.0,0.0,"gemini,grok,gpt54,claude",,-10.643351554870605,0.0,True,-10.118144035339355,0.0,True,-10.643351554870605,0.0,True,-10.643351554870605,0.0,True
005,no_forbid,4,4,4,0,-10.643351554870605,-10.643351554870605,0.0,-10.643351554870605,-10.643351554870605,-0.52520751953125,0.0,0.52520751953125,-0.1313018798828125,0.0,"gemini,grok,gpt54,claude",,-10.643351554870605,0.0,True,-10.643351554870605,-0.52520751953125,True,-10.643351554870605,0.0,True,-10.643351554870605,0.0,True
005,no_slip,4,4,4,0,-10.643351554870605,-10.643351554870605,0.0,-10.643351554870605,-10.643351554870605,-0.52520751953125,0.0,0.52520751953125,-0.1313018798828125,0.0,"gemini,grok,gpt54,claude",,-10.643351554870605,0.0,True,-10.643351554870605,-0.52520751953125,True,-10.643351554870605,0.0,True,-10.643351554870605,0.0,True
005,no_termination,4,4,4,0,-10.643351554870605,-10.606913566589355,0.03643798828125,-10.62513256072998,-10.62513256072998,-0.48876953125,0.03643798828125,0.52520751953125,-0.1130828857421875,0.0,"gemini,grok,gpt54,claude",,-10.606913566589355,0.03643798828125,True,-10.606913566589355,-0.48876953125,True,-10.643351554870605,0.0,True,-10.643351554870605,0.0,True
005,single_shot,4,4,4,0,-10.643351554870605,-9.957316398620605,0.68603515625,-10.205073356628418,-10.10981273651123,0.0,0.63226318359375,0.63226318359375,0.306976318359375,0.297821044921875,"gemini,grok,gpt54,claude",,-10.643351554870605,0.0,True,-9.957316398620605,0.16082763671875,True,-10.011088371276855,0.63226318359375,True,-10.208537101745605,0.434814453125,True
012,full,4,4,4,0,-2.772481918334961,-2.746053695678711,0.02642822265625,-2.7583141326904297,-2.7573604583740234,0.0,0.0,0.0,0.0,0.0,"gemini,grok,gpt54,claude",,-2.746053695678711,0.0,True,-2.772481918334961,0.0,True,-2.768667221069336,0.0,True,-2.746053695678711,0.0,True
012,no_forbid,4,4,4,0,-2.746053695678711,-2.746053695678711,0.0,-2.746053695678711,-2.746053695678711,0.0,0.02642822265625,0.02642822265625,0.01226043701171875,0.0113067626953125,"gemini,grok,gpt54,claude",,-2.746053695678711,0.0,True,-2.746053695678711,0.02642822265625,True,-2.746053695678711,0.022613525390625,True,-2.746053695678711,0.0,True
012,no_slip,4,4,4,0,-2.7007198333740234,-2.6933975219726562,0.0073223114013671875,-2.6953043937683105,-2.6935501098632812,0.05250358581542969,0.07526969909667969,0.02276611328125,0.06300973892211914,0.062132835388183594,"gemini,grok,gpt54,claude",,-2.6935501098632812,0.05250358581542969,True,-2.7007198333740234,0.0717620849609375,True,-2.6933975219726562,0.07526969909667969,True,-2.6935501098632812,0.05250358581542969,True
012,no_termination,4,4,4,0,-2.746053695678711,-2.6935501098632812,0.05250358581542969,-2.7329277992248535,-2.746053695678711,0.0,0.07511711120605469,0.07511711120605469,0.025386333465576172,0.013214111328125,"gemini,grok,gpt54,claude",,-2.746053695678711,0.0,True,-2.746053695678711,0.02642822265625,True,-2.6935501098632812,0.07511711120605469,True,-2.746053695678711,0.0,True
012,single_shot,4,4,4,0,-2.3598690032958984,-2.2730464935302734,0.086822509765625,-2.316446304321289,-2.316434860229492,0.3861846923828125,0.4956207275390625,0.10943603515625,0.4418678283691406,0.44283294677734375,"gemini,grok,gpt54,claude",,-2.3598690032958984,0.3861846923828125,True,-2.359823226928711,0.41265869140625,True,-2.2730464935302734,0.4956207275390625,True,-2.2730464935302734,0.4730072021484375,True
013,full,4,4,4,0,-10.361473083496094,-9.319587707519531,1.0418853759765625,-10.101001739501953,-10.361473083496094,0.0,0.0,0.0,0.0,0.0,"gemini,grok,gpt54,claude",,-10.361473083496094,0.0,True,-10.361473083496094,0.0,True,-10.361473083496094,0.0,True,-9.319587707519531,0.0,True
013,no_forbid,4,4,4,0,-10.361473083496094,-9.077415466308594,1.2840576171875,-10.040458679199219,-10.361473083496094,0.0,0.2421722412109375,0.2421722412109375,0.060543060302734375,0.0,"gemini,grok,gpt54,claude",,-10.361473083496094,0.0,True,-10.361473083496094,0.0,True,-10.361473083496094,0.0,True,-9.077415466308594,0.2421722412109375,True
013,no_slip,4,4,4,0,-10.361473083496094,-9.669624328613281,0.6918487548828125,-10.16265869140625,-10.309768676757812,-0.35003662109375,0.1034088134765625,0.4534454345703125,-0.061656951904296875,0.0,"gemini,grok,gpt54,claude",,-10.361473083496094,0.0,True,-10.361473083496094,0.0,True,-10.258064270019531,0.1034088134765625,True,-9.669624328613281,-0.35003662109375,True
