backend,variant,attempt_index,planned_site_type,actual_site_type,energy_eV,is_chemical_slip,is_dissociated,bond_change_count,running_best_energy_eV
gemini,full,1,ontop,ontop,-3.1320419311523438,False,False,0,-3.1320419311523438
gemini,full,2,bridge,bridge,-3.0835113525390625,True,False,0,-3.1320419311523438
gemini,full,3,bridge,bridge,-3.8413848876953125,False,False,0,-3.8413848876953125
gemini,full,4,ontop,ontop,-4.459312438964844,True,True,1,-3.8413848876953125
gemini,full,5,hollow,hollow (HCP/Subsurf-Atom),-1.3214569091796875,True,True,1,-3.8413848876953125
gemini,no_slip,1,ontop,ontop,-3.1308822631835938,False,False,0,-3.1308822631835938
gemini,no_slip,2,bridge,bridge,-3.0692596435546875,True,False,0,-3.1308822631835938
gemini,no_slip,3,ontop,ontop,-4.436973571777344,True,True,1,-3.1308822631835938
gemini,no_slip,4,bridge,bridge,-3.8413848876953125,False,False,0,-3.8413848876953125
gemini,no_slip,5,hollow,hollow (HCP/Subsurf-Atom),-1.3214263916015625,True,True,1,-3.8413848876953125
gemini,no_forbid,1,ontop,hollow (HCP/Subsurf-Atom),-4.042137145996094,True,False,0,-4.042137145996094
gemini,no_forbid,2,ontop,ontop,-4.381645202636719,True,True,1,-4.042137145996094
gemini,no_forbid,3,bridge,bridge,-3.5939178466796875,True,False,0,-4.042137145996094
gemini,no_forbid,4,bridge,ontop,-3.3541412353515625,True,False,0,-4.042137145996094
gemini,no_forbid,5,bridge,bridge,-3.1264801025390625,True,False,0,-4.042137145996094
gemini,no_termination,1,ontop,ontop,-3.1324996948242188,False,False,0,-3.1324996948242188
gemini,no_termination,2,bridge,bridge,-3.0713958740234375,True,False,0,-3.1324996948242188
gemini,no_termination,3,bridge,bridge,-3.5939178466796875,True,False,0,-3.5939178466796875
gemini,no_termination,4,hollow,hollow (HCP/Subsurf-Atom),-1.3214569091796875,True,True,1,-3.5939178466796875
gemini,no_termination,5,hollow,bridge,-3.0966949462890625,True,False,0,-3.5939178466796875
gemini,single_shot,1,ontop,hollow (HCP/Subsurf-Atom),-4.029319763183594,True,False,0,-4.029319763183594
grok4,full,1,ontop,hollow (HCP/Subsurf-Atom),-4.044700622558594,True,False,0,-4.044700622558594
