case_id,surface,adsorbate,smiles,raw_heuristic_best_energy,filtered_top3_best_energy,raw_minus_filtered_eV,filtered_rank,filtered_label,filtered_reason,n_valid_saved_top3,adsmind_best4_full,delta_filtered_heuristic_minus_adsmind_best4,outcome_vs_best4_0p01,gpt54_full,delta_filtered_heuristic_minus_gpt54,outcome_vs_gpt54_0p01,random_best_n20,delta_filtered_heuristic_minus_random,outcome_vs_random_0p01
01,Mo3Pd(111),[H],[H],-3.637272596359253,-3.637272596359253,0.0,1,hollow_014_conf0,single_atom,3,-3.6317179203033447,-0.005554676055908203,tie,-3.627323865890503,-0.00994873046875,tie,-3.631718397140503,-0.00555419921875,tie
02,Mo3Pd(111),[N]=[NH],[N]=[NH],-4.776639938354492,-4.776639938354492,0.0,1,hollow_066_conf0,NN_min=1.294A; NH_min=1.025A,3,-4.769039154052734,-0.0076007843017578125,tie,-4.769039154052734,-0.0076007843017578125,tie,-4.761686325073242,-0.01495361328125,heuristic_lower
03,CuPd3(111),[H],[H],-3.349552869796753,-3.349552869796753,0.0,1,bridge_018_conf0,single_atom,3,-3.351963758468628,0.002410888671875,tie,-3.351963758468628,0.002410888671875,tie,-3.323246717453003,-0.02630615234375,heuristic_lower
04,CuPd3(111),[N]=[NH],[N]=[NH],-3.470273971557617,,,,,all_saved_top3_invalid_or_dissociated,0,-2.2848472595214844,,no_valid_saved_top3,-2.2549095153808594,,no_valid_saved_top3,-3.293546676635742,,no_valid_saved_top3
05,Cu3Ag(111),[H],[H],-2.966923475265503,-2.966923475265503,0.0,1,bridge_055_conf0,single_atom,3,-2.961643934249878,-0.005279541015625,tie,-2.961643934249878,-0.005279541015625,tie,-2.965336561203003,-0.0015869140625,tie
06,Cu3Ag(111),[N]=[NH],[N]=[NH],-2.167753219604492,-2.167753219604492,0.0,1,bridge_020_conf0,NN_min=1.283A; NH_min=1.040A,1,-2.1646385192871094,-0.0031147003173828125,tie,-2.164623260498047,-0.0031299591064453125,tie,-2.678739547729492,0.510986328125,random_lower
07,Ru3Mo(111),[H],[H],-7.051396131515503,-7.051396131515503,0.0,1,bridge_041_conf0,single_atom,3,-7.051090955734253,-0.00030517578125,tie,-7.030705213546753,-0.02069091796875,heuristic_lower,-7.041508436203003,-0.0098876953125,tie
08,Ru3Mo(111),[N]=[NH],[N]=[NH],-9.209440231323242,,,,,all_saved_top3_invalid_or_dissociated,0,-7.190608978271484,,no_valid_saved_top3,-7.190608978271484,,no_valid_saved_top3,-7.188383102416992,,no_valid_saved_top3
09,Pt(111),[OH],[OH],-1.9934635162353516,-1.9934635162353516,0.0,1,bridge_008_conf0,OH_min=0.981A,3,-1.9912567138671875,-0.0022068023681640625,tie,-1.9912567138671875,-0.0022068023681640625,tie,-1.9895267486572266,-0.003936767578125,tie
10,Pt(100),[OH],[OH],-2.7206058502197266,-2.7206058502197266,0.0,1,bridge_011_conf0,OH_min=0.983A,3,-2.7176666259765625,-0.0029392242431640625,tie,-2.7095260620117188,-0.011079788208007812,heuristic_lower,-2.7149600982666016,-0.005645751953125,tie
11,Pd(111),[OH],[OH],-2.6359806060791016,-2.6359806060791016,0.0,1,bridge_022_conf0,OH_min=0.975A,3,-2.4184722900390625,-0.21750831604003906,heuristic_lower,-2.3813095092773438,-0.2546710968017578,heuristic_lower,-2.4397830963134766,-0.196197509765625,heuristic_lower
12,Au(111),[OH],[OH],-2.360696792602539,-2.360696792602539,0.0,1,bridge_010_conf0,OH_min=0.979A,3,-2.3513641357421875,-0.009332656860351562,tie,-2.0813217163085938,-0.2793750762939453,heuristic_lower,-2.3599796295166016,-0.0007171630859375,tie
13,Ag(100),[OH],[OH],-2.827669143676758,-2.827669143676758,0.0,1,hollow_027_conf0,OH_min=0.978A,3,-2.8251419067382812,-0.0025272369384765625,tie,-2.8251419067382812,-0.0025272369384765625,tie,-2.8251514434814453,-0.0025177001953125,tie
14,CoPt(111),[OH],[OH],-3.6134281158447266,-3.6134281158447266,0.0,1,bridge_066_conf0,OH_min=0.976A,3,-3.6166324615478516,0.003204345703125,tie,-3.5911407470703125,-0.022287368774414062,heuristic_lower,-3.6227664947509766,0.00933837890625,tie
15,Cu6Ga2(100),[CH2]CO,[CH2]CO,-3.225940704345703,-3.225940704345703,0.0,1,bridge_003_conf0,components=1,3,-3.257709503173828,0.031768798828125,adsmind_lower,-3.257709503173828,0.031768798828125,gpt54_lower,-3.001087188720703,-0.224853515625,heuristic_lower
16,Au2Hf(102),[CH2]CO,[CH2]CO,-5.376361846923828,,,,,all_saved_top3_invalid_or_dissociated,0,-4.662910461425781,,no_valid_saved_top3,-4.272052764892578,,no_valid_saved_top3,-6.736865997314453,,no_valid_saved_top3
17,Rh2Ti2(111),CC=O,CC=O,-3.2653350830078125,-3.2653350830078125,0.0,2,bridge_025_conf0,components=1,2,-3.241016387939453,-0.024318695068359375,heuristic_lower,-3.241016387939453,-0.024318695068359375,heuristic_lower,-3.171344757080078,-0.09399032592773438,heuristic_lower
18,Al3Zr(101),CC=O,CC=O,-3.24102783203125,-3.24102783203125,0.0,1,bridge_015_conf0,components=1,2,-3.1291351318359375,-0.1118927001953125,heuristic_lower,-2.7240142822265625,-0.5170135498046875,heuristic_lower,-3.2130470275878906,-0.027980804443359375,heuristic_lower
19,Hf2Zn6(110),CC=O,CC=O,-4.696258544921875,,,,,all_saved_top3_invalid_or_dissociated,0,-4.044700622558594,,no_valid_saved_top3,-4.0125274658203125,,no_valid_saved_top3,-3.5673561096191406,,no_valid_saved_top3
20,Bi2Ti6(211),CN(C)N=O,CN(C)N=O,-11.756484985351562,,,,,all_saved_top3_invalid_or_dissociated,0,-11.652706146240234,,no_valid_saved_top3,-11.652278900146484,,no_valid_saved_top3,-13.422286987304688,,no_valid_saved_top3
