case_id,backend_key,backend,llm_model,force_field,calculator_backend,force_field_model,force_field_size,variant,attempt_index,mace_energy_eV,delta_from_run_best_eV,is_run_best_iteration,attempt_status,planned_site_type,actual_site_type,is_chemical_slip,is_dissociated
01,gpt,gpt54_mace_mp0_small,gpt-5.4-2026-03-05,MACE-MP-0 small,mace,mace_mp0,small,full,1,-3.623600721359253,0.00372314453125,False,success,hollow,hollow (HCP/Subsurf-Atom),False,False
01,gpt,gpt54_mace_mp0_small,gpt-5.4-2026-03-05,MACE-MP-0 small,mace,mace_mp0,small,full,2,-3.557255506515503,0.070068359375,False,success,hollow,bridge,True,False
01,gpt,gpt54_mace_mp0_small,gpt-5.4-2026-03-05,MACE-MP-0 small,mace,mace_mp0,small,full,3,-3.616886854171753,0.01043701171875,False,success,bridge,hollow (HCP/Subsurf-Atom),True,False
01,gpt,gpt54_mace_mp0_small,gpt-5.4-2026-03-05,MACE-MP-0 small,mace,mace_mp0,small,full,4,-3.627323865890503,0.0,True,success,bridge,hollow (HCP/Subsurf-Atom),True,False
01,claude,claude_sonnet46_mace_mp0_small,claude-sonnet-4-6,MACE-MP-0 small,mace,mace_mp0,small,full,1,-3.557255506515503,0.0728759765625,False,success,hollow,bridge,True,False
01,claude,claude_sonnet46_mace_mp0_small,claude-sonnet-4-6,MACE-MP-0 small,mace,mace_mp0,small,full,2,-3.623600721359253,0.00653076171875,False,success,hollow,hollow (HCP/Subsurf-Atom),False,False
01,claude,claude_sonnet46_mace_mp0_small,claude-sonnet-4-6,MACE-MP-0 small,mace,mace_mp0,small,full,3,-3.616886854171753,0.01324462890625,False,success,bridge,hollow (HCP/Subsurf-Atom),True,False
01,claude,claude_sonnet46_mace_mp0_small,claude-sonnet-4-6,MACE-MP-0 small,mace,mace_mp0,small,full,4,-3.630131483078003,0.0,True,success,ontop,hollow (HCP/Subsurf-Atom),True,False
01,gemini,gemini25pro_mace_mp0_small,gemini-2.5-pro,MACE-MP-0 small,mace,mace_mp0,small,full,1,-3.6311686038970947,0.00054931640625,False,success,hollow,hollow (HCP/Subsurf-Atom),False,False
01,gemini,gemini25pro_mace_mp0_small,gemini-2.5-pro,MACE-MP-0 small,mace,mace_mp0,small,full,2,-3.5662882328033447,0.0654296875,False,success,hollow,bridge,True,False
01,gemini,gemini25pro_mace_mp0_small,gemini-2.5-pro,MACE-MP-0 small,mace,mace_mp0,small,full,3,-3.6317179203033447,0.0,True,success,bridge,hollow (HCP/Subsurf-Atom),True,False
01,gemini,gemini25pro_mace_mp0_small,gemini-2.5-pro,MACE-MP-0 small,mace,mace_mp0,small,full,4,-3.6289103031158447,0.0028076171875,False,success,bridge,hollow (HCP/Subsurf-Atom),True,False
01,gemini,gemini25pro_mace_mp0_small,gemini-2.5-pro,MACE-MP-0 small,mace,mace_mp0,small,full,5,-3.5617105960845947,0.07000732421875,False,success,ontop,bridge,True,False
01,grok,grok4_mace_mp0_small,grok-4,MACE-MP-0 small,mace,mace_mp0,small,full,1,-3.6311075687408447,0.0006103515625,False,success,hollow,hollow (HCP/Subsurf-Atom),False,False
01,grok,grok4_mace_mp0_small,grok-4,MACE-MP-0 small,mace,mace_mp0,small,full,2,-3.5663492679595947,0.06536865234375,False,success,hollow,bridge,True,False
01,grok,grok4_mace_mp0_small,grok-4,MACE-MP-0 small,mace,mace_mp0,small,full,3,-3.6317179203033447,0.0,True,success,bridge,hollow (HCP/Subsurf-Atom),True,False
01,grok,grok4_mace_mp0_small,grok-4,MACE-MP-0 small,mace,mace_mp0,small,full,4,-3.6285440921783447,0.003173828125,False,success,ontop,hollow (HCP/Subsurf-Atom),True,False
01,grok,grok4_mace_mp0_small,grok-4,MACE-MP-0 small,mace,mace_mp0,small,full,5,-3.5617105960845947,0.07000732421875,False,success,ontop,bridge,True,False
