case_id,ocd62_case_id,ocd_id,surface_formula,adsorbate,backend_key,backend,run1_backend,run2_backend,run3_backend,run4_backend,llm_model,force_field,calculator_backend,force_field_model,force_field_size,variant,e_run1,e_run2,e_run3,e_run4,range_eV,e_min,std_eV,agreement_class
001,002,16,Hf18Sc18Si36,NO,gpt,gpt54_mace_mp0_small,gpt54_mace_mp0_small,gpt54_mace_mp0_small,gpt54_mace_mp0_small,gpt54_mace_mp0_small,gpt-5.4-2026-03-05,MACE-MP-0 small,mace,mace_mp0,small,full,-4.3469619751,-4.3469619751,-7.04744529724,-4.3469619751,2.70048332214,-7.04744529724,1.16934357974,severe
001,002,16,Hf18Sc18Si36,NO,gpt,gpt54_mace_mp0_small,gpt54_mace_mp0_small,gpt54_mace_mp0_small,gpt54_mace_mp0_small,gpt54_mace_mp0_small,gpt-5.4-2026-03-05,MACE-MP-0 small,mace,mace_mp0,small,no_slip,-4.3469619751,-4.3469619751,-4.3469619751,-4.3469619751,0,-4.3469619751,0,exact_match
001,002,16,Hf18Sc18Si36,NO,gpt,gpt54_mace_mp0_small,gpt54_mace_mp0_small,gpt54_mace_mp0_small,gpt54_mace_mp0_small,gpt54_mace_mp0_small,gpt-5.4-2026-03-05,MACE-MP-0 small,mace,mace_mp0,small,no_forbid,-4.3469619751,-4.3469619751,-4.3469619751,-4.3469619751,0,-4.3469619751,0,exact_match
001,002,16,Hf18Sc18Si36,NO,gpt,gpt54_mace_mp0_small,gpt54_mace_mp0_small,gpt54_mace_mp0_small,gpt54_mace_mp0_small,gpt54_mace_mp0_small,gpt-5.4-2026-03-05,MACE-MP-0 small,mace,mace_mp0,small,no_termination,-4.3469619751,-4.88319969177,-7.04744529724,-4.3469619751,2.70048332214,-7.04744529724,1.11367300982,severe
001,002,16,Hf18Sc18Si36,NO,gpt,gpt54_mace_mp0_small,gpt54_mace_mp0_small,gpt54_mace_mp0_small,gpt54_mace_mp0_small,gpt54_mace_mp0_small,gpt-5.4-2026-03-05,MACE-MP-0 small,mace,mace_mp0,small,one_shot,-4.3469619751,-4.3469619751,-4.3469619751,-4.3469619751,0,-4.3469619751,0,exact_match
002,010,94,Ag18Sr27,[N]=N,gpt,gpt54_mace_mp0_small,gpt54_mace_mp0_small,gpt54_mace_mp0_small,gpt54_mace_mp0_small,gpt54_mace_mp0_small,gpt-5.4-2026-03-05,MACE-MP-0 small,mace,mace_mp0,small,full,-3.38452529907,-3.34560775757,-3.34560775757,-3.38452529907,0.0389175415039,-3.38452529907,0.019458770752,minor
002,010,94,Ag18Sr27,[N]=N,gpt,gpt54_mace_mp0_small,gpt54_mace_mp0_small,gpt54_mace_mp0_small,gpt54_mace_mp0_small,gpt54_mace_mp0_small,gpt-5.4-2026-03-05,MACE-MP-0 small,mace,mace_mp0,small,no_slip,-3.34560775757,-3.38451766968,-3.38451766968,-3.34561538696,0.0389099121094,-3.38451766968,0.0194530488931,minor
002,010,94,Ag18Sr27,[N]=N,gpt,gpt54_mace_mp0_small,gpt54_mace_mp0_small,gpt54_mace_mp0_small,gpt54_mace_mp0_small,gpt54_mace_mp0_small,gpt-5.4-2026-03-05,MACE-MP-0 small,mace,mace_mp0,small,no_forbid,-3.38451766968,-3.34560012817,-3.34560775757,-3.34561538696,0.0389175415039,-3.38451766968,0.0168484870366,minor
002,010,94,Ag18Sr27,[N]=N,gpt,gpt54_mace_mp0_small,gpt54_mace_mp0_small,gpt54_mace_mp0_small,gpt54_mace_mp0_small,gpt54_mace_mp0_small,gpt-5.4-2026-03-05,MACE-MP-0 small,mace,mace_mp0,small,no_termination,-3.34559249878,-3.34560775757,-3.34560775757,-3.34560775757,1.52587890625e-05,-3.34560775757,6.60724947956e-06,exact_match
002,010,94,Ag18Sr27,[N]=N,gpt,gpt54_mace_mp0_small,gpt54_mace_mp0_small,gpt54_mace_mp0_small,gpt54_mace_mp0_small,gpt54_mace_mp0_small,gpt-5.4-2026-03-05,MACE-MP-0 small,mace,mace_mp0,small,one_shot,-3.34560012817,-5.60783004761,-5.60781478882,-5.60781478882,2.26222991943,-5.60783004761,0.979569884902,severe
