case_id,slab_file,smiles,user_request,surface_family,adsorbate_name,miller_index,reaction_class,status,best_energy_eV,iteration_count,max_attempts,perfect_count,dissociation_count,rearrangement_count,calc_failure_count,chemical_slip_count,final_site_type,converged_tag,wall_clock_sec,total_input_tokens,total_output_tokens,best_structure_file,generated_conformers_file,relaxation_trajectory_file
001,research/agent_eval/generated_slabs/ocd_gmae_rep50/001_ocd_596_Cr18Pt18_H.xyz,[H],Find the lowest-energy adsorption configuration for atomic hydrogen on the provided surface.,intermetallic,H,,HER,success,-4.743168592453003,1,1,1,0,0,0,1,bridge,False,38.5582162886858,4403,1791,research/results/ocd_gmae_rep50_v1_anthropic_sonnet46_one_shot/001/artifacts/BEST_H_hollow_to_bridge_E-4.743.xyz,,research/results/ocd_gmae_rep50_v1_anthropic_sonnet46_one_shot/001/artifacts/relaxation.traj
002,research/agent_eval/generated_slabs/ocd_gmae_rep50/002_ocd_768_Ga24Y24_H.xyz,[H],Find the lowest-energy adsorption configuration for atomic hydrogen on the provided surface.,intermetallic,H,,HER,success,-3.5041396617889404,1,1,1,0,0,0,1,hollow (FCC/No-Subsurf),False,50.246516577899456,4536,1719,research/results/ocd_gmae_rep50_v1_anthropic_sonnet46_one_shot/002/artifacts/BEST_H_hollow_to_hollow_FCC-No-Subsurf_E-3.504.xyz,,research/results/ocd_gmae_rep50_v1_anthropic_sonnet46_one_shot/002/artifacts/relaxation.traj
003,research/agent_eval/generated_slabs/ocd_gmae_rep50/003_ocd_775_Na12Pb36_H.xyz,[H],Find the lowest-energy adsorption configuration for atomic hydrogen on the provided surface.,intermetallic,H,,HER,success,-3.134342908859253,1,1,1,0,0,0,0,hollow (HCP/Subsurf-Atom),False,68.65432589501143,4549,1937,research/results/ocd_gmae_rep50_v1_anthropic_sonnet46_one_shot/003/artifacts/BEST_H_hollow_to_hollow_HCP-Subsurf-Atom_E-3.134.xyz,,research/results/ocd_gmae_rep50_v1_anthropic_sonnet46_one_shot/003/artifacts/relaxation.traj
004,research/agent_eval/generated_slabs/ocd_gmae_rep50/004_ocd_479_Ni6Sc36Te12_OH.xyz,[OH],Find the lowest-energy adsorption configuration for hydroxyl radical on the provided surface.,intermetallic,OH,,ORR,success,-7.2280120849609375,1,1,1,0,0,0,1,bridge,False,110.71124676987529,4696,1893,research/results/ocd_gmae_rep50_v1_anthropic_sonnet46_one_shot/004/artifacts/BEST_OH_hollow_to_bridge_E-7.228.xyz,,research/results/ocd_gmae_rep50_v1_anthropic_sonnet46_one_shot/004/artifacts/relaxation.traj
005,research/agent_eval/generated_slabs/ocd_gmae_rep50/005_ocd_513_Pd24Zr24_OH.xyz,[OH],Find the lowest-energy adsorption configuration for hydroxyl radical on the provided surface.,intermetallic,OH,,ORR,success,-6.176261901855469,1,1,1,0,0,0,1,hollow (HCP/Subsurf-Atom),False,474.1293936111033,4800,2023,research/results/ocd_gmae_rep50_v1_anthropic_sonnet46_one_shot/005/artifacts/BEST_OH_ontop_to_hollow_HCP-Subsurf-Atom_E-6.176.xyz,,research/results/ocd_gmae_rep50_v1_anthropic_sonnet46_one_shot/005/artifacts/relaxation.traj
006,research/agent_eval/generated_slabs/ocd_gmae_rep50/006_ocd_439_Ca16Pb16Pd16_OH.xyz,[OH],Find the lowest-energy adsorption configuration for hydroxyl radical on the provided surface.,intermetallic,OH,,ORR,success,-3.9466781616210938,1,1,1,0,0,0,1,hollow (FCC/No-Subsurf),False,217.32538885250688,4558,1707,research/results/ocd_gmae_rep50_v1_anthropic_sonnet46_one_shot/006/artifacts/BEST_OH_ontop_to_hollow_FCC-No-Subsurf_E-3.947.xyz,,research/results/ocd_gmae_rep50_v1_anthropic_sonnet46_one_shot/006/artifacts/relaxation.traj
007,research/agent_eval/generated_slabs/ocd_gmae_rep50/007_ocd_735_Re27Ti27_NH2.xyz,[NH2],Find the lowest-energy adsorption configuration for the adsorbate with SMILES [NH2] on the provided surface.,intermetallic,[NH2],,GENERALIZATION,success,-6.983524322509766,1,1,1,0,0,0,1,hollow (HCP/Subsurf-Atom),False,153.00607903301716,4606,1625,research/results/ocd_gmae_rep50_v1_anthropic_sonnet46_one_shot/007/artifacts/BEST_NH2_hollow_to_hollow_HCP-Subsurf-Atom_E-6.984.xyz,,research/results/ocd_gmae_rep50_v1_anthropic_sonnet46_one_shot/007/artifacts/relaxation.traj
008,research/agent_eval/generated_slabs/ocd_gmae_rep50/008_ocd_491_Ca24Zn48_NH2.xyz,[NH2],Find the lowest-energy adsorption configuration for the adsorbate with SMILES [NH2] on the provided surface.,intermetallic,[NH2],,GENERALIZATION,failed,,1,1,0,1,0,0,1,,False,403.51502139493823,4746,2084,research/results/ocd_gmae_rep50_v1_anthropic_sonnet46_one_shot/008/artifacts/BEST_NH2_ontop_to_hollow_FCC-No-Subsurf_DISS_E-5.047.xyz,,research/results/ocd_gmae_rep50_v1_anthropic_sonnet46_one_shot/008/artifacts/relaxation.traj
009,research/agent_eval/generated_slabs/ocd_gmae_rep50/009_ocd_208_Al20Au20Y20_NH2.xyz,[NH2],Find the lowest-energy adsorption configuration for the adsorbate with SMILES [NH2] on the provided surface.,intermetallic,[NH2],,GENERALIZATION,success,-4.527713775634766,1,1,1,0,0,0,1,bridge,False,45.34524044394493,4579,1757,research/results/ocd_gmae_rep50_v1_anthropic_sonnet46_one_shot/009/artifacts/BEST_NH2_hollow_to_bridge_E-4.528.xyz,,research/results/ocd_gmae_rep50_v1_anthropic_sonnet46_one_shot/009/artifacts/relaxation.traj
010,research/agent_eval/generated_slabs/ocd_gmae_rep50/010_ocd_70_As48Hf48Ni48_NH2.xyz,[NH2],Find the lowest-energy adsorption configuration for the adsorbate with SMILES [NH2] on the provided surface.,intermetallic,[NH2],,GENERALIZATION,success,-9.262384414672852,1,1,1,0,0,0,0,ontop,False,439.84908094629645,4675,1776,research/results/ocd_gmae_rep50_v1_anthropic_sonnet46_one_shot/010/artifacts/BEST_NH2_ontop_E-9.262.xyz,,research/results/ocd_gmae_rep50_v1_anthropic_sonnet46_one_shot/010/artifacts/relaxation.traj
