backend_key,backend,llm_model,llm_route,force_field,calculator_backend,force_field_model,force_field_size,case_id,variant,best_energy,delta_vs_full,iterations,wasted_iterations,waste_ratio,success,slip_count,dissociation_count,tokens_used
grok,xai_grok4_0709_mace_mp0_small,grok-4-0709,xAI official endpoint,MACE-MP-0 small,mace,mace_mp0,small,01,one_shot,-3.6311686038970943,0.00054931640625,1,0,0.0,True,0,0,6419
grok,xai_grok4_0709_mace_mp0_small,grok-4-0709,xAI official endpoint,MACE-MP-0 small,mace,mace_mp0,small,02,one_shot,-4.150495529174805,0.6154632568359375,1,0,0.0,True,1,0,6507
grok,xai_grok4_0709_mace_mp0_small,grok-4-0709,xAI official endpoint,MACE-MP-0 small,mace,mace_mp0,small,03,one_shot,-3.320255994796753,0.031707763671875,1,0,0.0,True,1,0,5852
grok,xai_grok4_0709_mace_mp0_small,grok-4-0709,xAI official endpoint,MACE-MP-0 small,mace,mace_mp0,small,04,one_shot,-1.657941818237305,0.5969676971435547,1,0,0.0,True,1,0,3201
grok,xai_grok4_0709_mace_mp0_small,grok-4-0709,xAI official endpoint,MACE-MP-0 small,mace,mace_mp0,small,05,one_shot,-2.9469187259674072,0.0147099494934082,1,0,0.0,True,0,0,6022
grok,xai_grok4_0709_mace_mp0_small,grok-4-0709,xAI official endpoint,MACE-MP-0 small,mace,mace_mp0,small,06,one_shot,,,1,0,0.0,False,0,1,6188
grok,xai_grok4_0709_mace_mp0_small,grok-4-0709,xAI official endpoint,MACE-MP-0 small,mace,mace_mp0,small,07,one_shot,-6.883122205734253,0.16796875,1,0,0.0,True,1,0,5640
grok,xai_grok4_0709_mace_mp0_small,grok-4-0709,xAI official endpoint,MACE-MP-0 small,mace,mace_mp0,small,08,one_shot,,,1,0,0.0,False,0,1,5945
grok,xai_grok4_0709_mace_mp0_small,grok-4-0709,xAI official endpoint,MACE-MP-0 small,mace,mace_mp0,small,09,one_shot,-1.9739322662353516,0.0,1,0,0.0,True,0,0,6511
grok,xai_grok4_0709_mace_mp0_small,grok-4-0709,xAI official endpoint,MACE-MP-0 small,mace,mace_mp0,small,10,one_shot,-2.712350845336914,0.0053157806396484,1,0,0.0,True,0,0,6257
grok,xai_grok4_0709_mace_mp0_small,grok-4-0709,xAI official endpoint,MACE-MP-0 small,mace,mace_mp0,small,11,one_shot,-2.3885955810546875,0.029876708984375,1,0,0.0,True,1,0,6367
grok,xai_grok4_0709_mace_mp0_small,grok-4-0709,xAI official endpoint,MACE-MP-0 small,mace,mace_mp0,small,12,one_shot,-2.080881118774414,0.2704830169677734,1,0,0.0,True,0,0,6389
grok,xai_grok4_0709_mace_mp0_small,grok-4-0709,xAI official endpoint,MACE-MP-0 small,mace,mace_mp0,small,13,one_shot,-2.376443862915039,0.4486980438232422,1,0,0.0,True,0,0,6497
grok,xai_grok4_0709_mace_mp0_small,grok-4-0709,xAI official endpoint,MACE-MP-0 small,mace,mace_mp0,small,14,one_shot,-3.245080947875977,0.371551513671875,1,0,0.0,True,1,0,6732
grok,xai_grok4_0709_mace_mp0_small,grok-4-0709,xAI official endpoint,MACE-MP-0 small,mace,mace_mp0,small,15,one_shot,-2.58724594116211,0.6704635620117188,1,0,0.0,True,1,0,6890
grok,xai_grok4_0709_mace_mp0_small,grok-4-0709,xAI official endpoint,MACE-MP-0 small,mace,mace_mp0,small,16,one_shot,-4.551860809326172,0.1110496520996093,1,0,0.0,True,0,0,6044
grok,xai_grok4_0709_mace_mp0_small,grok-4-0709,xAI official endpoint,MACE-MP-0 small,mace,mace_mp0,small,17,one_shot,-3.0664215087890625,-0.2008514404296875,1,0,0.0,True,1,0,6912
grok,xai_grok4_0709_mace_mp0_small,grok-4-0709,xAI official endpoint,MACE-MP-0 small,mace,mace_mp0,small,18,one_shot,-2.4179840087890625,0.711151123046875,1,0,0.0,True,1,0,6576
grok,xai_grok4_0709_mace_mp0_small,grok-4-0709,xAI official endpoint,MACE-MP-0 small,mace,mace_mp0,small,19,one_shot,-3.5939178466796875,0.4507827758789062,1,0,0.0,True,1,0,6740
grok,xai_grok4_0709_mace_mp0_small,grok-4-0709,xAI official endpoint,MACE-MP-0 small,mace,mace_mp0,small,20,one_shot,-10.602500915527344,1.0501441955566406,1,0,0.0,True,1,0,6289
