backend,variant,total,valid_success,natural_failure,external_failure,invalid_energy
Claude Sonnet 4.6,no_forbid,50,49,1,0,0
Claude Sonnet 4.6,no_slip,50,50,0,0,0
Claude Sonnet 4.6,no_termination,50,50,0,0,0
GPT-5.4,no_forbid,50,49,1,0,0
GPT-5.4,no_slip,50,49,1,0,0
GPT-5.4,no_termination,50,49,1,0,0
Gemini 2.5 Pro,no_forbid,50,50,0,0,0
Gemini 2.5 Pro,no_slip,50,50,0,0,0
Gemini 2.5 Pro,no_termination,50,50,0,0,0
Grok-4,no_forbid,50,50,0,0,0
Grok-4,no_slip,50,50,0,0,0
Grok-4,no_termination,50,50,0,0,0
