path,success,failure_class,error,calc_failure_count,dissociation_count
no_slip/001/result.json,True,,,0,0
no_slip/002/result.json,True,,,0,0
no_slip/003/result.json,True,,,0,0
no_slip/004/result.json,True,,,0,2
no_slip/005/result.json,True,,,0,0
no_slip/006/result.json,True,,,0,0
no_slip/007/result.json,True,,,0,0
no_slip/008/result.json,True,,,0,1
no_slip/009/result.json,True,,,0,0
no_slip/010/result.json,True,,,0,0
no_slip/011/result.json,True,,,2,0
no_slip/012/result.json,True,,,0,1
no_slip/013/result.json,True,,,0,2
no_slip/014/result.json,True,,,0,3
no_slip/015/result.json,True,,,0,0
no_slip/016/result.json,True,,,0,0
no_slip/017/result.json,True,,,0,0
no_slip/018/result.json,True,,,0,0
no_slip/019/result.json,True,,,0,0
no_slip/020/result.json,True,,,0,0
