path,success,failure_class,error,calc_failure_count,dissociation_count
no_forbid/001/result.json,True,,,0,0
no_forbid/002/result.json,True,,,0,0
no_forbid/003/result.json,True,,,0,0
no_forbid/004/result.json,True,,,0,1
no_forbid/005/result.json,True,,,0,0
no_forbid/006/result.json,True,,,0,0
no_forbid/007/result.json,True,,,0,0
no_forbid/008/result.json,True,,,0,0
no_forbid/009/result.json,True,,,0,0
no_forbid/010/result.json,True,,,0,0
no_forbid/011/result.json,True,,,0,0
no_forbid/012/result.json,True,,,0,1
no_forbid/013/result.json,True,,,0,2
no_forbid/014/result.json,True,,,0,1
no_slip/001/result.json,True,,,0,0
no_slip/002/result.json,True,,,0,0
no_slip/003/result.json,True,,,0,0
no_slip/004/result.json,True,,,0,1
no_slip/005/result.json,True,,,0,0
no_slip/006/result.json,True,,,0,0
no_slip/007/result.json,True,,,0,0
no_slip/008/result.json,True,,,0,1
no_slip/009/result.json,True,,,0,0
no_slip/010/result.json,True,,,0,0
no_slip/011/result.json,True,,,0,0
no_slip/012/result.json,True,,,0,2
no_slip/013/result.json,True,,,0,2
no_slip/014/result.json,True,,,0,0
no_slip/015/result.json,True,,,0,0
no_slip/016/result.json,True,,,0,0
no_slip/017/result.json,True,,,0,0
no_slip/018/result.json,True,,,0,1
no_slip/019/result.json,True,,,0,0
no_slip/020/result.json,True,,,0,0
no_slip/021/result.json,True,,,0,0
no_slip/022/result.json,True,,,0,0
no_slip/023/result.json,True,,,0,4
no_slip/024/result.json,True,,,0,0
no_slip/025/result.json,True,,,0,1
no_slip/026/result.json,True,,,0,2
no_slip/027/result.json,True,,,0,0
no_slip/028/result.json,True,,,0,1
no_slip/029/result.json,True,,,0,2
no_slip/030/result.json,True,,,0,1
no_slip/031/result.json,True,,,0,2
no_slip/032/result.json,True,,,0,2
no_slip/033/result.json,True,,,0,0
no_slip/034/result.json,True,,,0,0
no_slip/035/result.json,True,,,0,1
no_slip/036/result.json,True,,,0,2
no_slip/037/result.json,True,,,0,0
no_slip/038/result.json,True,,,0,1
no_slip/039/result.json,True,,,0,0
no_slip/040/result.json,True,,,0,0
no_slip/041/result.json,True,,,0,0
no_slip/042/result.json,True,,,0,1
no_slip/043/result.json,False,ambiguous_nonapi_calc_or_physics,,1,1
no_slip/044/result.json,True,,,0,0
no_slip/045/result.json,True,,,0,0
no_slip/046/result.json,True,,,0,0
no_slip/047/result.json,True,,,0,1
no_slip/048/result.json,True,,,0,0
no_slip/049/result.json,True,,,0,0
no_slip/050/result.json,True,,,0,0
