case_id,surface,surface_family,adsorbate,miller_index,gemini_planned_site,gemini_actual_site,gemini_slip,gemini_slip_type,gemini_valid,gemini_dissociated,gpt_planned_site,gpt_actual_site,gpt_slip,gpt_slip_type,gpt_valid,gpt_dissociated,claude_planned_site,claude_actual_site,claude_slip,claude_slip_type,claude_valid,claude_dissociated,grok4_planned_site,grok4_actual_site,grok4_slip,grok4_slip_type,grok4_valid,grok4_dissociated
01,Mo3Pd,intermetallic,H,(111),hollow,bridge,True,hard,True,False,hollow,bridge,True,hard,True,False,hollow,bridge,True,hard,True,False,ontop,hollow (FCC/No-Subsurf),True,hard,True,False
02,Mo3Pd,intermetallic,NNH,(111),ontop,hollow (FCC/No-Subsurf),True,hard,True,False,ontop,hollow (FCC/No-Subsurf),True,hard,True,False,ontop,hollow (FCC/No-Subsurf),True,hard,True,False,ontop,hollow (FCC/No-Subsurf),True,hard,True,False
03,Pd3Cu,intermetallic,H,(111),hollow,hollow (FCC/No-Subsurf),False,none,True,False,hollow,hollow (FCC/No-Subsurf),False,none,True,False,hollow,hollow (FCC/No-Subsurf),False,none,True,False,ontop,bridge,True,hard,True,False
04,Pd3Cu,intermetallic,NNH,(111),bridge,hollow (FCC/No-Subsurf),True,hard,True,False,hollow,hollow (FCC/No-Subsurf),True,soft,True,False,ontop,hollow (HCP/Subsurf-Atom),True,hard,True,False,ontop,hollow (HCP/Subsurf-Atom),True,hard,True,False
05,Cu3Ag,intermetallic,H,(111),hollow,hollow (FCC/No-Subsurf),False,none,True,False,hollow,hollow (FCC/No-Subsurf),False,none,True,False,hollow,hollow (FCC/No-Subsurf),False,none,True,False,hollow,hollow (FCC/No-Subsurf),False,none,True,False
06,Cu3Ag,intermetallic,NNH,(111),ontop,ontop,False,none,False,True,ontop,ontop,False,none,False,True,ontop,ontop,False,none,False,True,ontop,ontop,False,none,False,True
07,Ru3Mo,intermetallic,H,(111),hollow,ontop,True,hard,True,False,hollow,bridge,True,hard,True,False,hollow,ontop,True,hard,True,False,hollow,ontop,True,hard,True,False
08,Ru3Mo,intermetallic,NNH,(111),bridge,bridge,True,soft,True,False,ontop,ontop,False,none,False,True,ontop,ontop,False,none,False,True,ontop,ontop,False,none,False,True
09,Pt,monometallic,OH,(111),ontop,ontop,False,none,True,False,hollow,hollow (FCC/No-Subsurf),False,none,True,False,ontop,ontop,False,none,True,False,bridge,bridge,False,none,True,False
10,Pt,monometallic,OH,(100),ontop,bridge,True,hard,True,False,bridge,bridge,False,none,True,False,ontop,bridge,True,hard,True,False,bridge,bridge,False,none,True,False
11,Pd,monometallic,OH,(111),ontop,hollow (FCC/No-Subsurf),True,hard,True,False,hollow,hollow (FCC/No-Subsurf),False,none,True,False,hollow,hollow (FCC/No-Subsurf),False,none,True,False,bridge,hollow (FCC/No-Subsurf),True,hard,True,False
12,Au,monometallic,OH,(111),ontop,hollow (FCC/No-Subsurf),True,hard,True,False,ontop,hollow (FCC/No-Subsurf),True,hard,True,False,ontop,hollow (FCC/No-Subsurf),True,hard,True,False,bridge,hollow (FCC/No-Subsurf),True,hard,True,False
13,Ag,monometallic,OH,(100),ontop,bridge,True,hard,True,False,bridge,hollow (HCP/Subsurf-Atom),True,hard,True,False,hollow,hollow (HCP/Subsurf-Atom),False,none,True,False,bridge,hollow (HCP/Subsurf-Atom),True,hard,True,False
14,CoPt,intermetallic,OH,(111),ontop,ontop,False,none,True,False,bridge,bridge,False,none,True,False,ontop,bridge,True,hard,True,False,hollow,bridge,True,hard,True,False
15,Cu6Ga2,intermetallic,CH2CH2OH,(100),ontop,ontop,False,none,True,False,ontop,ontop,False,none,True,False,hollow,ontop,True,hard,True,False,ontop,ontop,False,none,True,False
16,Au2Hf,intermetallic,CH2CH2OH,(102),ontop,ontop,False,none,True,False,ontop,ontop,False,none,True,False,ontop,ontop,False,none,True,False,ontop,ontop,False,none,True,False
17,Rh2Ti2,intermetallic,OCHCH3,(111),ontop,bridge,True,hard,True,False,ontop,bridge,True,hard,True,False,ontop,bridge,True,hard,True,False,bridge,hollow (FCC/No-Subsurf),True,hard,True,False
18,Al3Zr,intermetallic,OCHCH3,(101),ontop,bridge,True,hard,True,False,ontop,bridge,True,hard,True,False,ontop,bridge,True,hard,True,False,ontop,bridge,True,hard,True,False
19,Hf2Zn6,intermetallic,OCHCH3,(110),ontop,hollow (HCP/Subsurf-Atom),True,hard,True,False,ontop,hollow (HCP/Subsurf-Atom),True,hard,True,False,ontop,hollow (HCP/Subsurf-Atom),True,hard,True,False,ontop,hollow (HCP/Subsurf-Atom),True,hard,True,False
20,Bi2Ti6,intermetallic,ONN(CH3)2,(211),ontop,hollow (FCC/No-Subsurf),True,hard,True,False,ontop,hollow (FCC/No-Subsurf),True,hard,True,False,ontop,hollow (FCC/No-Subsurf),True,hard,True,False,bridge,hollow (FCC/No-Subsurf),True,hard,True,False
