case_id,surface,adsorbate,gemini_energy,grok4_energy,gpt54_energy,claude_energy,best_energy,range_eV,winner_within_0p01,new_extra5_case
01,Mo3Pd(111),[H],-3.6317179203033447,-3.6317179203033447,-3.627323865890503,-3.630131483078003,-3.6317179203033447,0.004394054412841797,Gemini 2.5 Pro;Grok-4;GPT-5.4;Claude Sonnet 4.6,False
02,Mo3Pd(111),[N]=[NH],-4.765958786010742,-4.765958786010742,-4.769039154052734,-4.769039154052734,-4.769039154052734,0.0030803680419921875,Gemini 2.5 Pro;Grok-4;GPT-5.4;Claude Sonnet 4.6,False
03,CuPd3(111),[H],-3.351963758468628,-3.351963758468628,-3.351963758468628,-3.351963758468628,-3.351963758468628,0.0,Gemini 2.5 Pro;Grok-4;GPT-5.4;Claude Sonnet 4.6,True
04,CuPd3(111),[N]=[NH],-2.0603294372558594,-2.2549095153808594,-2.2549095153808594,-2.2848472595214844,-2.2848472595214844,0.224517822265625,Claude Sonnet 4.6,False
05,Cu3Ag(111),[H],-2.961643934249878,-2.9616286754608154,-2.961643934249878,-2.961643934249878,-2.961643934249878,1.52587890625e-05,Gemini 2.5 Pro;Grok-4;GPT-5.4;Claude Sonnet 4.6,False
06,Cu3Ag(111),[N]=[NH],-2.1646385192871094,-1.8745841979980469,-2.164623260498047,-1.8745841979980469,-2.1646385192871094,0.2900543212890625,Gemini 2.5 Pro;GPT-5.4,True
07,Ru3Mo(111),[H],-7.051090955734253,-7.051090955734253,-7.030705213546753,-7.051090955734253,-7.051090955734253,0.0203857421875,Gemini 2.5 Pro;Grok-4;Claude Sonnet 4.6,True
08,Ru3Mo(111),[N]=[NH],-6.414363861083984,-6.414363861083984,-7.190608978271484,-6.869441986083984,-7.190608978271484,0.7762451171875,GPT-5.4,True
09,Pt(111),[OH],-1.9739322662353516,-1.9739322662353516,-1.9912567138671875,-1.9912567138671875,-1.9912567138671875,0.017324447631835938,GPT-5.4;Claude Sonnet 4.6,False
10,Pt(100),[OH],-2.7176666259765625,-2.7176666259765625,-2.7095260620117188,-2.7176666259765625,-2.7176666259765625,0.00814056396484375,Gemini 2.5 Pro;Grok-4;GPT-5.4;Claude Sonnet 4.6,False
11,Pd(111),[OH],-2.3885955810546875,-2.4184722900390625,-2.3813095092773438,-2.4184722900390625,-2.4184722900390625,0.03716278076171875,Grok-4;Claude Sonnet 4.6,True
12,Au(111),[OH],-2.3513641357421875,-2.3513641357421875,-2.0813217163085938,-2.3513641357421875,-2.3513641357421875,0.27004241943359375,Gemini 2.5 Pro;Grok-4;Claude Sonnet 4.6,False
13,Ag(100),[OH],-2.8251419067382812,-2.8251419067382812,-2.8251419067382812,-2.8251419067382812,-2.8251419067382812,0.0,Gemini 2.5 Pro;Grok-4;GPT-5.4;Claude Sonnet 4.6,False
14,CoPt(111),[OH],-3.6166324615478516,-3.6166324615478516,-3.5911407470703125,-3.5796432495117188,-3.6166324615478516,0.03698921203613281,Gemini 2.5 Pro;Grok-4,False
15,Cu6Ga2(100),[CH2]CO,-3.257709503173828,-3.257709503173828,-3.257709503173828,-3.257678985595703,-3.257709503173828,3.0517578125e-05,Gemini 2.5 Pro;Grok-4;GPT-5.4;Claude Sonnet 4.6,False
16,Au2Hf(102),[CH2]CO,-4.662910461425781,-4.662910461425781,-4.272052764892578,-4.662910461425781,-4.662910461425781,0.3908576965332031,Gemini 2.5 Pro;Grok-4;Claude Sonnet 4.6,False
17,Rh2Ti2(111),CC=O,-3.222217559814453,-2.865570068359375,-3.241016387939453,-3.240985870361328,-3.241016387939453,0.3754463195800781,GPT-5.4;Claude Sonnet 4.6,False
18,Al3Zr(101),CC=O,-2.7787933349609375,-3.1291351318359375,-2.7240142822265625,-2.7240142822265625,-3.1291351318359375,0.405120849609375,Grok-4,False
19,Hf2Zn6(110),CC=O,-3.8413848876953125,-4.044700622558594,-4.0125274658203125,-4.0125274658203125,-4.044700622558594,0.20331573486328125,Grok-4,False
20,Bi2Ti6(211),CN(C)N=O,-11.652278900146484,-11.652645111083984,-11.652278900146484,-11.652706146240234,-11.652706146240234,0.00042724609375,Gemini 2.5 Pro;Grok-4;GPT-5.4;Claude Sonnet 4.6,False
