case_id,adsorbate,surface,adsorbagent_best_energy,adsorbagent_energy_std,adsorbagent_success,adsorbagent_lower_energy,adsorbagent_configs_tested,adsorbagent_configs_std,algorithm_energy,algorithm_energy_std,algorithm_configs_tested,source,notes
01,H,Mo3Pd(111),-0.764,0.113,false,false,6.7,2.1,59,-0.941,0.002,"Adsorb-Agent.pdf Table 1 page 4","success/lower-energy flags derived from Eq. 3 and Eq. 4 using the paper's mean energies and a 0.1 eV threshold"
02,NNH,Mo3Pd(111),-1.265,0.158,false,true,9.3,3.7,51,-0.903,0.117,"Adsorb-Agent.pdf Table 1 page 4","derived flag columns use paper mean energies"
03,H,CuPd3(111),-0.380,0.003,true,false,16.7,1.2,98,-0.398,0.017,"Adsorb-Agent.pdf Table 1 page 4","derived flag columns use paper mean energies"
04,NNH,CuPd3(111),0.745,0.006,false,true,17.3,3.1,78,0.867,0.072,"Adsorb-Agent.pdf Table 1 page 4","derived flag columns use paper mean energies"
05,H,Cu3Ag(111),-0.019,0.041,true,false,21.3,4.1,98,-0.072,0.002,"Adsorb-Agent.pdf Table 1 page 4","derived flag columns use paper mean energies"
06,NNH,Cu3Ag(111),1.504,0.057,true,false,16.7,2.6,56,1.500,0.002,"Adsorb-Agent.pdf Table 1 page 4","derived flag columns use paper mean energies"
07,H,Ru3Mo(111),-0.587,0.002,true,false,17.0,2.2,94,-0.586,0.050,"Adsorb-Agent.pdf Table 1 page 4","derived flag columns use paper mean energies"
08,NNH,Ru3Mo(111),-0.498,0.013,false,true,18.7,0.5,81,-0.276,0.003,"Adsorb-Agent.pdf Table 1 page 4","derived flag columns use paper mean energies"
09,OH,Pt(111),0.990,0.001,true,false,7.0,1.6,54,0.990,0.071,"Adsorb-Agent.pdf Table 1 page 4","derived flag columns use paper mean energies"
10,OH,Pt(100),0.991,0.001,true,false,10.3,4.2,54,0.991,0.001,"Adsorb-Agent.pdf Table 1 page 4","derived flag columns use paper mean energies"
11,OH,Pd(111),0.814,0.000,true,false,20.0,5.7,54,0.814,0.001,"Adsorb-Agent.pdf Table 1 page 4","derived flag columns use paper mean energies"
12,OH,Au(111),1.408,0.002,true,false,23.3,5.2,54,1.409,0.002,"Adsorb-Agent.pdf Table 1 page 4","derived flag columns use paper mean energies"
13,OH,Ag(100),0.440,0.001,true,false,23.7,4.5,53,0.463,0.009,"Adsorb-Agent.pdf Table 1 page 4","derived flag columns use paper mean energies"
14,OH,CoPt(111),-0.208,0.015,true,false,41.3,1.2,120,-0.166,0.046,"Adsorb-Agent.pdf Table 1 page 4","derived flag columns use paper mean energies"
15,CH2CH2OH,Cu6Ga2(100),-2.338,0.833,false,false,28.7,15.5,66,-3.077,0.062,"Adsorb-Agent.pdf Table 1 page 4","derived flag columns use paper mean energies"
16,CH2CH2OH,Au2Hf(102),-2.761,0.592,false,false,28.0,4.5,78,-3.761,0.129,"Adsorb-Agent.pdf Table 1 page 4","derived flag columns use paper mean energies"
17,OCHCH3,Rh2Ti2(111),-4.561,0.007,false,true,29.0,4.3,62,-4.275,0.086,"Adsorb-Agent.pdf Table 1 page 4","derived flag columns use paper mean energies"
18,OCHCH3,Al3Zr(101),-4.616,0.014,false,true,22.0,2.4,68,-4.325,0.052,"Adsorb-Agent.pdf Table 1 page 4","derived flag columns use paper mean energies"
19,OCHCH3,Hf2Zn6(110),-5.922,0.209,false,true,18.0,2.2,67,-5.443,0.037,"Adsorb-Agent.pdf Table 1 page 4","derived flag columns use paper mean energies"
20,ONN(CH3)2,Bi2Ti6(211),-3.454,0.337,false,true,33.0,3.6,139,-2.441,0.103,"Adsorb-Agent.pdf Table 1 page 4","derived flag columns use paper mean energies"
