case_id,surface,adsorbate,single_status,single_total_energy,single_config_count,single_tokens,reference_available_for_adsorption_energy,single_adsorption_energy_derived,original_multi_status,original_multi_adsorption_energy,original_multi_configs,delta_single_minus_multi_eV,gpt54_adsmind_full_energy,delta_single_minus_adsmind_gpt54_eV
01,Mo3Pd(111),[H],no_selected_config,,0,,False,,success,-3.879215955734253,29,,-3.627323865890503,
02,Mo3Pd(111),[N]=[NH],no_selected_config,,0,,False,,success,-5.097377777099609,2,,-4.769039154052734,
03,CuPd3(111),[H],success,-304.0489196777344,1,4137,False,,skipped,,,,-3.351963758468628,
04,CuPd3(111),[N]=[NH],success,-319.0571594238281,1,4877,True,-1.6872825622558594,success,-2.9148216247558594,34,1.2275390625,-2.2549095153808594,0.567626953125
05,Cu3Ag(111),[H],no_selected_config,,0,,False,,skipped,,,,-2.961643934249878,
06,Cu3Ag(111),[N]=[NH],success,-241.53689575195312,1,4472,True,-1.8710289001464844,success,-2.243450164794922,23,0.3724212646484375,-2.164623260498047,0.2935943603515625
07,Ru3Mo(111),[H],no_selected_config,,0,,False,,success,-6.726322889328003,17,,-7.030705213546753,
08,Ru3Mo(111),[N]=[NH],success,-920.1917724609375,1,4579,True,-4.768398284912109,success,-7.142055511474609,24,2.3736572265625,-7.190608978271484,2.422210693359375
09,Pt(111),[OH],success,-323.9961853027344,1,4124,True,-1.8049507141113281,success,-1.9971504211425781,25,0.19219970703125,-1.9912567138671875,0.18630599975585938
10,Pt(100),[OH],success,-210.08694458007812,1,4403,True,-2.3687477111816406,success,-2.7414588928222656,22,0.372711181640625,-2.7095260620117188,0.3407783508300781
11,Pd(111),[OH],success,-278.90863037109375,1,4291,True,-1.7304878234863281,success,-2.577228546142578,19,0.84674072265625,-2.3813095092773438,0.6508216857910156
12,Au(111),[OH],success,-91.209716796875,1,4261,True,-1.4911766052246094,success,-2.245380401611328,23,0.7542037963867188,-2.0813217163085938,0.5901451110839844
13,Ag(100),[OH],success,-102.18574523925781,1,4557,True,-1.6910514831542969,success,-2.856945037841797,25,1.1658935546875,-2.8251419067382812,1.1340904235839844
14,CoPt(111),[OH],success,-448.1046142578125,1,4722,True,-3.998035430908203,success,-4.125019073486328,8,0.126983642578125,-3.5911407470703125,-0.4068946838378906
15,Cu6Ga2(100),[CH2]CO,no_selected_config,,0,,False,,skipped,,,,-3.257709503173828,
16,Au2Hf(102),[CH2]CO,no_selected_config,,0,,False,,success,-5.699554443359375,20,,-4.272052764892578,
17,Rh2Ti2(111),CC=O,success,-427.4477233886719,1,4761,True,-4.003063201904297,success,-4.476116180419922,31,0.473052978515625,-3.241016387939453,-0.7620468139648438
18,Al3Zr(101),CC=O,success,-277.973876953125,1,4553,False,,skipped,,,,-2.7240142822265625,
19,Hf2Zn6(110),CC=O,success,-258.4268798828125,1,4658,True,-3.521465301513672,success,-4.707073211669922,18,1.18560791015625,-4.0125274658203125,0.4910621643066406
20,Bi2Ti6(211),CN(C)N=O,success,-487.72235107421875,1,4597,True,-8.071174621582031,success,-12.284919738769531,16,4.2137451171875,-11.652278900146484,3.581104278564453
