case_id,surface,surface_family,adsorbate,miller_index,gemini_planned_site,gemini_actual_site,gemini_slip,gemini_slip_type,grok4_planned_site,grok4_actual_site,grok4_slip,grok4_slip_type
01,Mo3Pd,intermetallic,H,(111),hollow,bridge,true,hard,hollow,hollow (HCP/Subsurf-Atom),false,none
02,Mo3Pd,intermetallic,NNH,(111),ontop,hollow (FCC/No-Subsurf),true,hard,ontop,hollow (HCP/Subsurf-Atom),true,hard
03,Pd3Cu,intermetallic,H,(111),hollow,hollow (FCC/No-Subsurf),false,none,hollow,hollow (FCC/No-Subsurf),false,none
04,Pd3Cu,intermetallic,NNH,(111),ontop,hollow (FCC/No-Subsurf),true,hard,ontop,hollow (FCC/No-Subsurf),true,hard
05,Cu3Ag,intermetallic,H,(111),hollow,hollow (HCP/Subsurf-Atom),false,none,hollow,hollow (HCP/Subsurf-Atom),false,none
06,Cu3Ag,intermetallic,NNH,(111),hollow,hollow (HCP/Subsurf-Atom),true,soft,ontop,hollow (FCC/No-Subsurf),true,hard
07,Ru3Mo,intermetallic,H,(111),hollow,ontop,true,hard,hollow,ontop,true,hard
08,Ru3Mo,intermetallic,NNH,(111),bridge,bridge,true,soft,ontop,hollow (HCP/Subsurf-Atom),true,hard
09,Pt,monometallic,OH,(111),ontop,ontop,false,none,bridge,bridge,false,none
10,Pt,monometallic,OH,(100),ontop,ontop,false,none,bridge,bridge,false,none
11,Pd,monometallic,OH,(111),ontop,hollow (FCC/No-Subsurf),true,hard,bridge,hollow (HCP/Subsurf-Atom),true,hard
12,Au,monometallic,OH,(111),ontop,ontop,false,none,bridge,bridge,false,none
13,Ag,monometallic,OH,(100),bridge,bridge,false,none,bridge,bridge,false,none
14,CoPt,intermetallic,OH,(111),hollow,bridge,true,hard,hollow,bridge,true,hard
15,Cu6Ga2,intermetallic,CH2CH2OH,(100),ontop,ontop,false,none,hollow,bridge,true,hard
16,Au2Hf,intermetallic,CH2CH2OH,(102),ontop,ontop,false,none,ontop,ontop,false,none
17,Rh2Ti2,intermetallic,OCHCH3,(111),ontop,bridge,true,hard,bridge,hollow (HCP/Subsurf-Atom),true,hard
18,Al3Zr,intermetallic,OCHCH3,(101),bridge,bridge,true,soft,bridge,bridge,true,soft
19,Hf2Zn6,intermetallic,OCHCH3,(110),ontop,hollow (HCP/Subsurf-Atom),true,hard,bridge,bridge,true,soft
20,Bi2Ti6,intermetallic,ONN(CH3)2,(211),ontop,hollow (HCP/Subsurf-Atom),true,hard,ontop,hollow (HCP/Subsurf-Atom),true,hard
