seq_id,case_id,ocd_id,slab_file,smiles,surface_formula,surface_elements,adsorbate_name,reaction_class,y_relaxed,site_indices
003,003,31,datasets/ocd62/003_ocd_31_Cd24Pd24_NO.xyz,NO,Cd24Pd24,Cd;Pd,NO,GENERALIZATION,1.121879,32
011,011,105,datasets/ocd62/011_ocd_105_Se48Sn48_CO.xyz,CO,Se48Sn48,Se;Sn,CO,GENERALIZATION,-1.719915,72
017,017,183,datasets/ocd62/017_ocd_183_Pb24Y8_N_O.xyz,[N]=O,Pb24Y8,Pb;Y,[N]=O,GENERALIZATION,1.712046,8;19;29
020,020,201,datasets/ocd62/020_ocd_201_Cr36N48_CH_O.xyz,[CH]=O,Cr36N48,Cr;N,[CH]=O,GENERALIZATION,-4.026478,4;6;36
026,026,335,datasets/ocd62/026_ocd_335_As40Ti40_C_O.xyz,C[O],As40Ti40,As;Ti,C[O],GENERALIZATION,-2.485463,37
031,031,439,datasets/ocd62/031_ocd_439_Ca16Pb16Pd16_OH.xyz,[OH],Ca16Pb16Pd16,Ca;Pb;Pd,OH,ORR,-1.033571,3;11;16
040,040,591,datasets/ocd62/040_ocd_591_Sb20Ta60_N_N.xyz,[N]=N,Sb20Ta60,Sb;Ta,[N]=N,GENERALIZATION,-2.326445,13;18;21;38
051,051,775,datasets/ocd62/051_ocd_775_Na12Pb36_H.xyz,[H],Na12Pb36,Na;Pb,H,HER,0.597914,7;26;47
053,053,780,datasets/ocd62/053_ocd_780_K20_C_CH2_O.xyz,C([CH2])O,K20,K,C([CH2])O,GENERALIZATION,-3.186096,2;8;12
054,054,794,datasets/ocd62/054_ocd_794_Ni38Se40_CH2_C.xyz,[CH2]C,Ni38Se40,Ni;Se,[CH2]C,GENERALIZATION,-3.938025,54
